0,1,2,3,4,5,6
241,23,7,8,10,7,33
9,45,2,4,5,3,6
5,2,72,11,23,12,35
15,13,30,993,40,12,82
10,4,29,34,285,13,103
5,7,16,10,12,106,6
50,1,41,23,45,5,515
