,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6
True_0,151,1,1,74,12,5,81
True_1,3,2,1,51,3,5,7
True_2,4,0,11,69,7,8,60
True_3,14,0,3,997,19,6,122
True_4,15,2,7,239,53,6,143
True_5,4,0,0,78,5,43,21
True_6,32,0,6,151,32,1,421
